Retailer,Category,Sub-Category,Domain,URL,Size,Product Hierarchy,Brand,Product Name,SKU,Reg. Price,Prime,Promo Tag,Each Price,Product Description,Product Details,# of Images,Nutrition,Lifestyle/Dietary Need,Image URLs,Promo Price
Loblaw's,Drinks,Coffee,Loblaw.ca,https://www.loblaws.ca/rich-decaf-instant-coffee/p/20950415_EA,100 g,Food > Drinks > Coffee > Instant Coffee,Nescafe,Rich Decaf Instant Coffee,20950415_EA,7.99 ea,,,7.99/100g,,"NESCAFÉ Rich Decaf Instant Coffee (100 g) makes 100% pure decaffeinated coffee with all the full-bodied taste of NESCAFÉ Rich. A perfect way to kick-start the day

- 100g jar of instant decaffeinated coffee
- Made from 100% natural coffee beans
- Free of additives or preservatives
- Has been waking up Canadians for over 75 years
- Makes over 50 cups of coffee",3,,,https://assets.shop.loblaws.ca/products/20950415/b2/en/front/20950415_front_a06_@2.png| https://assets.shop.loblaws.ca/products/20950415/b2/en/angle/20950415_angle_a06_@2.png| https://assets.shop.loblaws.ca/products/20950415/b2/en/side/20950415_side_a06_@2.png,
Loblaw's,Drinks,Coffee,Loblaw.ca,https://www.loblaws.ca/gourmet-medium-roast-100-arabica-coffee/p/20316972003_EA,930 g,Food > Drinks > Coffee > Ground Coffee,President's Choice,Gourmet Medium Roast 100% Arabica Coffee,20316972003_EA,11.99 ea,,SALE,1.07/100g,,"Our exclusive blend of 100% arabica Indonesian Sumatran Mandheling, Kenyan and Ethiopian beans. It's fragrant with sweet light-roasted caramel notes and a wine-like acidity for a more complex taste experience.",1,"
Code 		 Value In Grams 		 Value In Percent
Serving Size EN		0 g		
Serving Size EN		0 g		
Serving Size EN		0 g		
Per Serve Size Amt		0.0		
Per Serve Size Amt		0.0		
Per Serve Size Amt		0.0		
Total Fat				
Total Fat				
Total Fat				
Total Carbohydrate				
Total Carbohydrate				
Total Carbohydrate				
		Total Carbohydrate				
		Total Carbohydrate				
		Total Carbohydrate				
		Total Carbohydrate				
		Total Carbohydrate				
		Total Carbohydrate				
				
				
				",,https://assets.shop.loblaws.ca/products/20316972003/b2/en/front/20316972003_front_a06_@2.png,9.99 ea
Loblaw's,Drinks,Coffee,Loblaw.ca,https://www.loblaws.ca/rich-intense-instant-coffee/p/21363386_EA,160 g,Food > Drinks > Coffee > Instant Coffee,Nescafe,Rich Intense Instant Coffee,21363386_EA,7.99 ea,,,4.99/100g,,"Nescafé Rich Intense Instant Coffee (160 g) is bursting with rich coffee flavour for the strongest start to your morning without having to add an extra spoonful. Specially selected beans are roasted longer to develop a new level of richness and intensity, in both flavour and aroma. It's a true blend of strength, because mornings are no time for weakness. All beans are 100% natural and responsibly sourced, with independent checks to ensure every bean is grown respectfully, from farmers to the environment.

The darkest roast in the Nescafé coffee family with the strongest, most intense taste, making for a perfect way to kick start your day

Our most intense coffee ever, enlivening your morning with dark-roast delight

Made from specially selected beans, roasted longer to develop a new level of richness and intensity

Easy to prepare - It's never been easier to get a perfect cup of coffee; Simply scoop 1 tsp; Add hot water, then stir and enjoy

Committed to being Grown Respectfully- All coffee beans are responsibly sourced, and apart of sustainable farming practices",4,,,https://assets.shop.loblaws.ca/products/21363386/b2/en/front/21363386_front_a06_@2.png| https://assets.shop.loblaws.ca/products/21363386/b2/en/angle/21363386_angle_a06_@2.png| https://assets.shop.loblaws.ca/products/21363386/b2/en/side/21363386_side_a06_@2.png| https://assets.shop.loblaws.ca/products/21363386/b2/en/back/21363386_back_a06_@2.png,
Loblaw's,Drinks,Coffee,Loblaw.ca,https://www.loblaws.ca/instant-coffee/p/21180125_EA,150 g,Food > Drinks > Coffee > Instant Coffee,No Name,Instant Coffee,21180125_EA,3.79 ea,,,2.53/100g,,,1,,,https://assets.shop.loblaws.ca/products/21180125/b2/en/front/21180125_front_a06_@2.png,
Loblaw's,Drinks,Coffee,Loblaw.ca,https://www.loblaws.ca/rich-french-vanilla-instant-coffee/p/20949839_EA,100 g,Food > Drinks > Coffee > Instant Coffee,Nescafe,Rich French Vanilla Instant Coffee,20949839_EA,7.99 ea,,,7.99/100g,,"NESCAFÉ Rich French Vanilla Instant Coffee (100 g) offers two classics combined: The full-bodied NESCAFÉ Rich with the delicious flavour of French vanilla. A great way to kick-start the day.

- French Vanilla flavoured instant coffee
- 100 g jar
- Makes over 50 cups of coffee
- 10 calories per serving",3,"
Code 		 Value In Grams 		 Value In Percent
Serving Size EN		Per 1 tsp  (2 g)		
Serving Size EN		Per 1 tsp  (2 g)		
Serving Size EN		Per 1 tsp  (2 g)		
Calories		10 cal		
Calories		10 cal		
Calories		10 cal		
Total Fat		0.0 g		
Total Fat		0.0 g		
Total Fat		0.0 g		
		Total Fat		0.0 g		
		Total Fat		0.0 g		
		Total Fat		0.0 g		
		Total Fat		0.0 g		
		Total Fat		0.0 g		
		Total Fat		0.0 g		
		Total Fat		0.0 g		
		Total Fat		0.0 g		
		Total Fat		0.0 g		
Total Carbohydrate		2 g		
Total Carbohydrate		2 g		
Total Carbohydrate		2 g		
		Total Carbohydrate		2 g		
		Total Carbohydrate		2 g		
		Total Carbohydrate		2 g		
		Total Carbohydrate		2 g		
		Total Carbohydrate		2 g		
		Total Carbohydrate		2 g		
Protein		0.2 g		
Protein		0.2 g		
Protein		0.2 g		
				
				
				
Cholesterol		- Mg		
Cholesterol		- Mg		
Cholesterol		- Mg		
Sodium		- Mg		
Sodium		- Mg		
Sodium		- Mg		",,https://assets.shop.loblaws.ca/products/20949839/b2/en/front/20949839_front_a06_@2.png| https://assets.shop.loblaws.ca/products/20949839/b2/en/angle/20949839_angle_a06_@2.png| https://assets.shop.loblaws.ca/products/20949839/b2/en/side/20949839_side_a06_@2.png,
Loblaw's,Drinks,Coffee,Loblaw.ca,https://www.loblaws.ca/qualita-rossa/p/20315998_EA,250 g,Food > Drinks > Coffee > Ground Coffee,Lavazza,Qualita Rossa,20315998_EA,5.79 ea,,MULTI,2.32/100g,,"A blend of Brazilian and African coffees defined by chocolaty flavour, a full body, intense aromas, and a persistent finish.",3,"
Code 		 Value In Grams 		 Value In Percent
Serving Size EN		0 g		
Serving Size EN		0 g		
Serving Size EN		0 g		
Per Serve Size Amt		0.0		
Per Serve Size Amt		0.0		
Per Serve Size Amt		0.0		
Total Fat				
Total Fat				
Total Fat				
Total Carbohydrate				
Total Carbohydrate				
Total Carbohydrate				
		Total Carbohydrate				
		Total Carbohydrate				
		Total Carbohydrate				
		Total Carbohydrate				
		Total Carbohydrate				
		Total Carbohydrate				
				
				
				",,https://assets.shop.loblaws.ca/products/20315998/b2/en/front/20315998_front_a06_@2.png| https://assets.shop.loblaws.ca/products/20315998/b2/en/angle/20315998_angle_a06_@2.png| https://assets.shop.loblaws.ca/products/20315998/b2/en/side/20315998_side_a06_@2.png,
Loblaw's,Drinks,Coffee,Loblaw.ca,https://www.loblaws.ca/premium-roast-tin/p/21238559_EA,950 g,Food > Drinks > Coffee > Ground Coffee,McCafe,Premium Roast  Tin   ,21238559_EA,19.99 ea,,,2.1/100g,,,1,,,https://assets.shop.loblaws.ca/products/21238559/b2/en/front/21238559_front_a06_@2.png,
Loblaw's,Drinks,Coffee,Loblaw.ca,https://www.loblaws.ca/nescaf-sweet-and-creamy-original-instant-coffee-mi/p/21363371_EA,351 g,Food > Drinks > Coffee > Instant Coffee,Nescafe,Nescafé Sweet and Creamy Original Instant Coffee Mix,21363371_EA,7.99 ea,,,2.28/100g,,"Nescafé Sweet & Creamy Original Instant Coffee Mix (18 x 19 g) is a range of all-in-one coffees made in an instant, using our convenient single serve packets. Each Nescafé Sweet & Creamy packet includes all the coffee, creamer, and sugar you need to create a delicious cup that you can have at home or when you're on the go. Crafted using medium-dark roasted coffee beans, each cup has a smooth and creamy coffee taste, with rich coffee aroma. Nescafé Sweet & Creamy is simple to prepare, all you need to add is hot water.Also available in French Vanilla, Mocha and Caramel flavours.

- Convenient All-In-One Solution: Sweet and Creamy is in a simple format that is quick and easy to make
- Incorporate Into Any Routine: Perfect pick me up at any point of the day, for at home or while on the go
- Consistent Taste: There is no guesswork in making a cup of Sweet and Creamy, resulting in the same taste from cup to cup
- Committed to being Grown Respectfully: All coffee beans are responsibly sourced, and a part of sustainable farming practices
- Created by Coffee Experts: Nescafé is an expert in coffee innovations, and have used their knowledge to create a product that doesn't require sugar, coffee-creamer or coffee whitener",5,,,https://assets.shop.loblaws.ca/products/21363371/b2/en/front/21363371_front_a06_@2.png| https://assets.shop.loblaws.ca/products/21363371/b2/en/angle/21363371_angle_a06_@2.png| https://assets.shop.loblaws.ca/products/21363371/b2/en/side/21363371_side_a06_@2.png| https://assets.shop.loblaws.ca/products/21363371/b2/en/back/21363371_back_a06_@2.png| https://assets.shop.loblaws.ca/products/21363371/b2/en/top/21363371_top_a06_@2.png,
Loblaw's,Drinks,Coffee,Loblaw.ca,https://www.loblaws.ca/gold-espresso-instant-coffee/p/21074565_EA,100 g,Food > Drinks > Coffee > Instant Coffee,Nescafe,GOLD Espresso Instant Coffee,21074565_EA,7.99 ea,,,7.99/100g,,"Exceed all expectations when it comes to instant coffee with new NESCAFÉ gold espresso instant coffee (100 g). Made with a smooth blend of Arabica coffee and a velvety layer of coffee crema, you can brew a small cup full of extraordinary flavour. Perfect for making a traditional espresso, or a delicate cup of Americano. Coffee shop quality coffee in an instant.

- Made with premium Arabica beans, hand-picked.
- A smooth blend of Arabica coffee and a velvety layer of coffee crema.
- Exceeds all expectations you have for instant coffee
- Easy to experiment and customize to your own perfect cup.
- Great for making a traditional espresso, or a delicate cup of Americano.",3,,,https://assets.shop.loblaws.ca/products/21074565/b2/en/front/21074565_front_a06_@2.png| https://assets.shop.loblaws.ca/products/21074565/b2/en/angle/21074565_angle_a06_@2.png| https://assets.shop.loblaws.ca/products/21074565/b2/en/side/21074565_side_a06_@2.png,
Loblaw's,Drinks,Coffee,Loblaw.ca,https://www.loblaws.ca/west-coast-dark-roast-gourmet-whole-bean-coffee/p/20015837001_EA,907 g,Food > Drinks > Coffee > Whole Bean,President's Choice,West Coast Dark Roast Gourmet Whole Bean Coffee,20015837001_EA,14.99 ea,,,1.65/100g,,"An exclusive blend of some of the world?s finest arabica beans, President?s Choice Gourmet West Coast Dark Roast is a bold, assertive coffee with a heady aroma, full body and intensely rich flavour.",1,"
Code 		 Value In Grams 		 Value In Percent
Serving Size EN		0 g		
Serving Size EN		0 g		
Serving Size EN		0 g		
Per Serve Size Amt		0.0		
Per Serve Size Amt		0.0		
Per Serve Size Amt		0.0		
Total Fat				
Total Fat				
Total Fat				
Total Carbohydrate				
Total Carbohydrate				
Total Carbohydrate				
		Total Carbohydrate				
		Total Carbohydrate				
		Total Carbohydrate				
		Total Carbohydrate				
		Total Carbohydrate				
		Total Carbohydrate				
				
				
				",,https://assets.shop.loblaws.ca/products/20015837001/b2/en/front/20015837001_front_a06_@2.png,
Loblaw's,Drinks,Coffee,Loblaw.ca,https://www.loblaws.ca/original-coffee/p/20902294_EA,300 g,Food > Drinks > Coffee > Ground Coffee,Tim Hortons,Original Coffee,20902294_EA,8.29 ea,,,2.76/100g,,"roasted with care..

The signature flavour in every cup of Tim Hortons Original Blend Coffee is created using our own unique blend of 100% Arabica beans. Selected from the world's most renowned coffee growing regions, our beans are blended and roasted with care to deliver the consistent taste of Tim Hortons every time.",3,"
Code 		 Value In Grams 		 Value In Percent
Serving Size EN		0 g		
Serving Size EN		0 g		
Serving Size EN		0 g		
Per Serve Size Amt		0.0		
Per Serve Size Amt		0.0		
Per Serve Size Amt		0.0		
Total Fat				
Total Fat				
Total Fat				
Total Carbohydrate				
Total Carbohydrate				
Total Carbohydrate				
		Total Carbohydrate				
		Total Carbohydrate				
		Total Carbohydrate				
		Total Carbohydrate				
		Total Carbohydrate				
		Total Carbohydrate				
				
				
				",,https://assets.shop.loblaws.ca/products/20902294/b2/en/front/20902294_front_a06_@2.png| https://assets.shop.loblaws.ca/products/20902294/b2/en/angle/20902294_angle_a06_@2.png| https://assets.shop.loblaws.ca/products/20902294/b2/en/side/20902294_side_a06_@2.png,
